Entity,Code,Year,Barley | 00000044 || Production | 005510 || tonnes
Africa,,1963,3854812
Africa,,1964,2946788
Africa,,1965,3143705
Africa,,1966,2021568
Africa,,1967,3032222
Africa,,1968,4963806
Africa,,1969,3706547
Africa,,1970,3684133
Africa,,1971,4087246
Africa,,1972,4459344
Africa,,1973,2975447
Africa,,1974,4034211
Africa,,1975,3700440
Africa,,1976,4679313
Africa,,1977,2948069
Africa,,1978,4116033
Africa,,1979,4011336
Africa,,1980,4676533
Africa,,1981,3333683
Africa,,1982,4531305
Africa,,1983,3702977
Africa,,1984,3457422
Africa,,1985,5926214
Africa,,1986,6199809
Africa,,1987,4474928
Africa,,1988,5601623
Africa,,1989,5625843
Africa,,1990,5133261
Africa,,1991,7102387
Africa,,1992,4492200
Africa,,1993,3206594
Africa,,1994,5530159
Africa,,1995,3036362
Africa,,1996,8002883
Africa,,1997,3097930
Africa,,1998,4529338
Africa,,1999,3734611
Africa,,2000,2117782
Africa,,2001,3497984
Africa,,2002,3864272
Africa,,2003,5800045
Africa,,2004,6286654
Africa,,2005,4651940
Africa,,2006,6234582
Africa,,2007,4605574
Africa,,2008,4159951
Africa,,2009,9367831
Africa,,2010,6734325
Africa,,2011,6655682
Africa,,2012,6144205
Africa,,2013,7255022
Africa,,2014,6116709
Africa,,2015,7554656
Africa,,2016,4841361
Africa,,2017,6563405
Africa,,2018,7671800
Africa,,2019,6854918
Africa,,2020,5534513
Africa (FAO),,1961,1861469
Africa (FAO),,1962,3438445
Africa (FAO),,1963,3856120
Africa (FAO),,1964,2946928
Africa (FAO),,1965,3143846
Africa (FAO),,1966,2021670
Africa (FAO),,1967,3032303
Africa (FAO),,1968,4963806
Africa (FAO),,1969,3706547
Africa (FAO),,1970,3684133
Africa (FAO),,1971,4087246
Africa (FAO),,1972,4459344
Africa (FAO),,1973,2975447
Africa (FAO),,1974,4034211
Africa (FAO),,1975,3700440
Africa (FAO),,1976,4679313
Africa (FAO),,1977,2948069
Africa (FAO),,1978,4116033
Africa (FAO),,1979,4011336
Africa (FAO),,1980,4676533
Africa (FAO),,1981,3333683
Africa (FAO),,1982,4531305
Africa (FAO),,1983,3702977
Africa (FAO),,1984,3457422
Africa (FAO),,1985,5926214
Africa (FAO),,1986,6199809
Africa (FAO),,1987,4474928
Africa (FAO),,1988,5601623
Africa (FAO),,1989,5625843
Africa (FAO),,1990,5133261
Africa (FAO),,1991,7102387
Africa (FAO),,1992,4492200
Africa (FAO),,1993,3206594
Africa (FAO),,1994,5530159
Africa (FAO),,1995,3036362
Africa (FAO),,1996,8002883
